,Date,SessionTime,DriverAhead,sGapToCarAhead,Time,nEngine,vCar,nGear,rThrottlePedal,pBrakeF1,Source,RelativeDistance,Status,X,Y,Z,sLap,Lap
29417,06:46.9,0 days 01:21:00.553000,63,400.1127782,0 days 00:00:19.203000,10727.11276,154.3207346,4,0,TRUE,pos,0.319835428,OnTrack,-1709,-399,773,1049.929272,27
29418,06:46.9,0 days 01:21:00.556000,63,400.1202778,0 days 00:00:19.206000,10720,154,3,0,TRUE,car,0.319871809,OnTrack,-1708.124745,-397.9693071,772.8964177,1050.057606,27
29419,06:47.0,0 days 01:21:00.716000,63,401.7202778,0 days 00:00:19.366000,11462,132,2,0,TRUE,car,0.321659621,OnTrack,-1677.154121,-361.530016,769.2780765,1055.924272,27
29420,06:47.2,0 days 01:21:00.916000,63,405.3869444,0 days 00:00:19.566000,10494,118,2,0,TRUE,car,0.323657366,OnTrack,-1654.926035,-337.0971671,767.2402227,1062.479828,27
29421,06:47.2,0 days 01:21:00.933000,63,405.8638943,0 days 00:00:19.583000,10523.79284,117.2349914,2,0,TRUE,pos,0.323816299,OnTrack,-1652,-334,767,1063.033437,27
29422,06:47.5,0 days 01:21:01.173000,63,412.5972276,0 days 00:00:19.823000,10944.39284,106.4349914,2,0,TRUE,pos,0.325884302,OnTrack,-1599,-279,762,1070.129104,27
29423,06:47.6,0 days 01:21:01.316000,63,416.6091667,0 days 00:00:19.966000,11195,100,1,0,TRUE,car,0.327043373,OnTrack,-1571.087996,-251.6107548,756.8624038,1074.101326,27
29424,06:47.7,0 days 01:21:01.373000,63,418.4933397,0 days 00:00:20.023000,11013.49001,98.7531208,1,0,TRUE,pos,0.327500952,OnTrack,-1557,-241,755,1075.664917,27
29425,06:47.9,0 days 01:21:01.613000,63,426.426673,0 days 00:00:20.263000,10249.24001,93.5031208,1,0,TRUE,pos,0.329387458,OnTrack,-1475,-199,750,1081.898458,27
29426,06:47.9,0 days 01:21:01.636000,63,427.1869444,0 days 00:00:20.286000,10176,93,1,0,TRUE,car,0.329562563,OnTrack,-1468.074529,-196.7926845,749.5846212,1082.492625,27
29427,06:48.3,0 days 01:21:01.956000,63,439.2758333,0 days 00:00:20.606000,9316,86,1,0,TRUE,car,0.331892136,OnTrack,-1402.170467,-201.8145013,743.6904208,1090.137069,27
29428,06:48.3,0 days 01:21:01.993000,63,440.817508,0 days 00:00:20.643000,9265.785454,85.33928229,1,0,TRUE,pos,0.332151085,OnTrack,-1396,-204,743,1091.014168,27
29429,06:48.5,0 days 01:21:02.236000,63,450.9425,0 days 00:00:20.886000,8936,81,1,0,FALSE,car,0.333812002,OnTrack,-1357.77884,-220.4036021,738.4346938,1096.481668,27
